radial_idx	distance	zh	rho	zdr	phi	sd_zdr	sd_phi	zh_qc	rho_qc	zdr_qc	phi_qc	phi_reg	kdp_lsf
147.0000	0.0750	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0000
147.0000	0.1500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0000
147.0000	0.2250	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0000
147.0000	0.3000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0000
147.0000	0.3750	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0000
147.0000	0.4500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0000
147.0000	0.5250	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0000
147.0000	0.6000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0000
147.0000	0.6750	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0000
147.0000	0.7500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0000
147.0000	0.8250	nan	nan	nan	nan	0.0000	0.0000	nan	nan	nan	nan	nan	0.0000
147.0000	0.9000	nan	nan	nan	nan	1.0000	10.2600	nan	nan	nan	nan	nan	0.0000
147.0000	0.9750	nan	nan	nan	nan	1.6843	23.3697	nan	nan	nan	nan	nan	0.0000
147.0000	1.0500	23.5000	0.8350	1.0000	29.1300	1.4819	20.3970	nan	nan	nan	nan	nan	0.0000
147.0000	1.1250	8.0000	0.7750	-1.0000	8.6100	1.3362	18.2446	nan	nan	nan	nan	nan	0.0000
147.0000	1.2000	17.5000	0.6650	3.1250	65.1500	1.2226	16.7422	nan	nan	nan	nan	nan	0.0000
147.0000	1.2750	14.0000	0.9500	0.4375	28.4400	1.1422	15.6178	14.0000	0.9500	0.4375	28.4400	28.4400	0.6932
147.0000	1.3500	17.5000	0.9900	1.3125	32.3700	1.1411	15.5973	17.5000	0.9900	1.3125	32.3700	29.0133	0.6596
147.0000	1.4250	19.5000	0.9700	0.7500	28.1600	0.8786	12.6027	19.5000	0.9700	0.7500	28.1600	29.0133	0.6281
147.0000	1.5000	18.5000	0.9550	0.5000	26.5100	0.2890	1.8393	18.5000	0.9550	0.5000	26.5100	29.0133	0.5988
147.0000	1.5750	24.0000	0.9950	0.8750	30.7800	0.4561	1.9315	24.0000	0.9950	0.8750	30.7800	29.7875	0.5713
147.0000	1.6500	22.5000	0.9950	0.5625	30.8500	0.3902	1.5784	22.5000	0.9950	0.5625	30.8500	29.7875	0.5607
147.0000	1.7250	22.5000	0.9950	1.0000	29.9000	0.3987	1.6744	22.5000	0.9950	1.0000	29.9000	29.7875	0.5494
147.0000	1.8000	22.0000	0.9500	-0.2500	27.6200	0.3963	1.8186	22.0000	0.9500	-0.2500	27.6200	29.7875	0.5411
147.0000	1.8750	22.0000	0.9900	0.8750	30.1700	0.5052	2.1899	22.0000	0.9900	0.8750	30.1700	30.1700	0.5320
147.0000	1.9500	21.5000	0.9950	0.8750	31.2700	0.5162	2.2699	21.5000	0.9950	0.8750	31.2700	31.2700	0.5222
147.0000	2.0250	20.5000	0.9450	0.7500	34.2200	1.1162	2.1825	20.5000	0.9450	0.7500	34.2200	31.7900	0.5119
147.0000	2.1000	23.5000	0.9000	1.5625	34.1600	1.0825	1.5027	23.5000	0.9000	1.5625	34.1600	31.7900	0.5014
147.0000	2.1750	24.0000	0.9250	1.1875	32.9700	1.0802	1.4662	24.0000	0.9250	1.1875	32.9700	31.7900	0.4906
147.0000	2.2500	25.5000	0.9350	-2.0000	31.3000	1.0777	1.4185	25.5000	0.9350	-2.0000	31.3000	31.7900	0.4798
147.0000	2.3250	23.0000	0.9700	0.6875	30.9700	1.1003	1.1892	23.0000	0.9700	0.6875	30.9700	31.7900	0.4690
147.0000	2.4000	23.5000	0.9750	0.8125	30.3700	1.0312	0.8169	23.5000	0.9750	0.8125	30.3700	31.7900	0.4582
147.0000	2.4750	28.0000	0.9500	0.8125	32.2800	0.9954	0.7450	28.0000	0.9500	0.8125	32.2800	31.7900	0.4475
147.0000	2.5500	26.0000	0.9850	1.1875	32.1000	0.2554	0.7633	26.0000	0.9850	1.1875	32.1000	31.7900	0.4370
147.0000	2.6250	24.0000	0.9400	0.2500	31.3100	0.2603	0.8766	24.0000	0.9400	0.2500	31.3100	31.7900	0.4266
147.0000	2.7000	25.0000	0.9400	0.7500	30.1300	0.2769	1.1480	25.0000	0.9400	0.7500	30.1300	31.7900	0.4164
147.0000	2.7750	24.0000	0.9900	0.8125	31.6800	0.2815	1.5590	24.0000	0.9900	0.8125	31.6800	31.7900	0.4064
147.0000	2.8500	26.0000	0.9900	0.9375	32.5900	0.2402	1.9063	26.0000	0.9900	0.9375	32.5900	31.7900	0.3967
147.0000	2.9250	23.5000	0.9850	1.0625	29.1900	0.1395	1.9424	23.5000	0.9850	1.0625	29.1900	31.7900	0.3872
147.0000	3.0000	25.0000	0.9900	0.6875	34.3800	0.1372	1.9007	25.0000	0.9900	0.6875	34.3800	31.8855	0.3779
147.0000	3.0750	24.0000	0.9600	0.6250	34.7300	0.1406	1.9227	24.0000	0.9600	0.6250	34.7300	31.8855	0.3688
147.0000	3.1500	24.5000	0.8400	0.8750	30.7800	0.1972	1.9236	nan	nan	nan	nan	31.8855	0.0000
147.0000	3.2250	26.0000	0.9900	0.8750	30.4700	0.1759	1.5436	26.0000	0.9900	0.8750	30.4700	31.8855	0.3515
147.0000	3.3000	25.0000	0.9500	0.9375	32.9200	0.1988	1.7372	25.0000	0.9500	0.9375	32.9200	31.8855	0.3432
147.0000	3.3750	22.5000	0.9700	0.4375	31.5400	0.1988	1.2427	22.5000	0.9700	0.4375	31.5400	31.8855	0.3351
147.0000	3.4500	23.0000	0.9950	0.9375	32.4500	0.1988	1.2806	23.0000	0.9950	0.9375	32.4500	31.8855	0.3272
147.0000	3.5250	24.5000	0.9650	1.0625	28.9600	0.2032	1.2456	24.5000	0.9650	1.0625	28.9600	31.8855	0.3196
147.0000	3.6000	26.0000	0.9950	0.6250	31.9100	0.1988	1.1971	26.0000	0.9950	0.6250	31.9100	31.8855	0.2914
147.0000	3.6750	26.0000	0.9900	0.7500	32.4400	0.1324	1.4355	26.0000	0.9900	0.7500	32.4400	31.8855	0.2680
147.0000	3.7500	26.5000	0.9900	0.9375	30.8100	0.1617	1.3760	26.5000	0.9900	0.9375	30.8100	31.8855	0.2434
147.0000	3.8250	29.0000	0.9950	0.8750	30.1300	0.1250	1.5563	29.0000	0.9950	0.8750	30.1300	31.8855	0.2176
147.0000	3.9000	24.5000	0.9850	0.8125	33.4200	0.1198	1.8231	24.5000	0.9850	0.8125	33.4200	32.3900	0.1990
147.0000	3.9750	27.5000	0.9900	0.5625	31.3600	0.1244	1.8239	27.5000	0.9900	0.5625	31.3600	32.3900	0.1794
147.0000	4.0500	28.0000	0.9900	0.6875	35.1000	0.1520	1.6600	28.0000	0.9900	0.6875	35.1000	32.5222	0.1588
147.0000	4.1250	28.5000	0.9850	0.8750	34.9400	0.1781	1.1957	28.5000	0.9850	0.8750	34.9400	32.5222	0.1373
