dis,phi,reg_phi,raw_kdp,reg_kdp,kdp_lsf
0.075,NaN,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,NaN
0.225,NaN,NaN,NaN,NaN,NaN
0.3,NaN,NaN,NaN,NaN,NaN
0.375,NaN,NaN,NaN,NaN,NaN
0.45,NaN,NaN,NaN,NaN,NaN
0.525,NaN,NaN,NaN,NaN,NaN
0.6,NaN,NaN,NaN,NaN,NaN
0.675,NaN,NaN,NaN,NaN,NaN
0.75,NaN,NaN,NaN,NaN,NaN
0.825,NaN,NaN,NaN,NaN,NaN
0.9,NaN,NaN,NaN,NaN,NaN
0.975,NaN,NaN,NaN,NaN,NaN
1.05,29.13,18.87,NaN,0.0,NaN
1.125,8.61,18.87,NaN,44.13796296296301,NaN
1.2,65.15,32.1113888888889,NaN,44.13796296296301,NaN
1.275,28.44,32.1113888888889,NaN,1.4210854715202004e-14,NaN
1.35,32.37,32.1113888888889,0.4,-1.4210854715202004e-14,NaN
1.425,28.16,32.1113888888889,0.4,0.0,NaN
1.5,26.51,32.1113888888889,0.4,0.0,NaN
1.575,30.78,32.1113888888889,0.4,0.0,4.098525132275132
1.65,30.85,32.1113888888889,0.4,1.4210854715202004e-14,2.2068981481481473
1.725,29.9,32.1113888888889,0.4,-1.4210854715202004e-14,0.0
1.8,27.62,32.1113888888889,0.4,0.0,0.0
1.875,30.17,32.1113888888889,0.4,0.0,2.8925045851662583e-15
1.95,31.27,32.1113888888889,0.4,0.0,0.0
2.025,34.22,32.1113888888889,0.4,1.4210854715202004e-14,8.946008396230348e-16
2.1,34.16,32.1113888888889,0.4,1.4210854715202004e-14,4.317036308144923e-15
2.175,32.97,32.1113888888889,0.4,-1.4210854715202004e-14,2.502877083441053e-15
2.25,31.3,32.1113888888889,0.4,0.0,2.4211716851709244e-15
2.325,30.97,32.1113888888889,0.4,1.4210854715202004e-14,2.3445818566763913e-15
2.4,30.37,32.1113888888889,0.4,-1.4210854715202004e-14,0.0
2.475,32.28,32.1113888888889,0.4,1.4210854715202004e-14,1.4699709875049366e-15
2.55,32.1,32.1113888888889,0.4,-1.4210854715202004e-14,4.2823014777766286e-15
2.625,31.31,32.1113888888889,0.4,0.0,2.7745420105416595e-15
2.7,30.13,32.1113888888889,0.4,1.4210854715202004e-14,3.373226390928874e-15
2.775,31.68,32.1113888888889,0.3,-1.4210854715202004e-14,0.0
2.85,32.59,32.1113888888889,0.3,1.4210854715202004e-14,0.0
2.925,29.19,32.1113888888889,0.3,-1.4210854715202004e-14,0.0
3.0,34.38,32.1113888888889,0.3,0.0,0.0
3.075,34.73,32.1113888888889,0.3,1.4210854715202004e-14,0.0
3.15,30.78,32.1113888888889,0.3,-1.4210854715202004e-14,5.793596417678724e-16
3.225,30.47,32.1113888888889,0.3,1.4210854715202004e-14,4.528179288886893e-15
3.3,32.92,32.1113888888889,0.3,-1.4210854715202004e-14,1.1065650597859381e-15
3.375,31.54,32.1113888888889,0.3,0.0,0.046435185185178786
3.45,32.45,32.1113888888889,0.3,1.4210854715202004e-14,0.08623677248677061
3.525,28.96,32.1113888888889,0.3,-1.4210854715202004e-14,0.14144642857142126
3.6,31.91,32.1113888888889,0.3,1.4210854715202004e-14,0.18687367724867135
3.675,32.44,32.1113888888889,0.3,-1.4210854715202004e-14,0.22251851851851945
3.75,30.81,32.1113888888889,0.3,0.0,0.24838095238095415
3.825,30.13,32.1113888888889,0.3,0.9287037037037038,0.2644609788359711
3.9,33.42,32.39,0.3,0.9287037037036754,0.27075859788359324
3.975,31.36,32.39,0.3,0.4408333333333445,0.26727380952379975
4.05,35.1,32.52225,0.4,0.4408333333333161,0.2540066137566078
4.125,34.94,32.52225,0.4,0.0,0.23095701058200885
4.2,32.87,32.52225,0.4,0.0,0.19812499999999472
4.275,32.99,32.52225,0.4,0.0,0.155510582010581
4.35,33.03,32.52225,0.4,0.0,0.1031137566137544
4.425,33.35,32.52225,0.4,0.0,0.04093452380952735
4.5,33.01,32.52225,0.4,0.0,0.02204166666666517
4.575,35.22,32.52225,0.4,0.0,1.600025320878284e-15
4.65,31.74,32.52225,0.4,0.0,3.935860479859044e-16
4.725,32.83,32.52225,0.4,0.0,0.0
4.8,32.69,32.52225,0.4,0.0,3.813431781566211e-16
4.875,36.03,32.52225,0.4,0.0,5.63253550778145e-15
4.95,32.76,32.52225,0.4,0.0,1.4793496002595813e-15
5.025,32.77,32.52225,0.4,0.0,0.0
5.1,33.2,32.52225,0.4,0.0,2.513029572132385e-15
5.175,32.23,32.52225,0.5,0.0,3.184395600972398e-15
5.25,32.96,32.52225,0.5,0.0,4.5342239572013335e-15
5.325,33.83,32.52225,0.5,0.0,0.0
5.4,28.9,32.52225,0.5,0.0,0.0
5.475,31.48,32.52225,0.5,0.0,0.0
5.55,31.27,32.52225,0.5,0.0,4.289987113349657e-15
5.625,32.1,32.52225,0.5,0.0,9.768410192443238e-16
5.7,32.99,32.52225,0.6,0.0,6.426863517797623e-16
5.775,33.61,32.52225,0.6,0.0,0.0
5.85,30.18,32.52225,0.6,0.0,0.0
5.925,34.36,32.52225,0.6,0.0,3.0917737619583735e-15
6.0,31.38,32.52225,0.6,0.0,3.053239692292918e-16
6.075,33.27,32.52225,0.7,0.0,0.0
6.15,32.39,32.52225,0.7,0.0,0.0
6.225,31.79,32.52225,0.7,0.0,0.0
6.3,32.07,32.52225,0.7,0.0,4.3623607664335764e-15
6.375,31.0,32.52225,0.7,0.0,0.0
6.45,33.66,32.52225,0.8,0.0,1.7044675812305677e-15
6.525,30.69,32.52225,0.8,0.0,0.027541666666668435
6.6,32.27,32.52225,0.8,0.0,0.05114880952380676
6.675,31.26,32.52225,0.8,0.0,0.07082142857142999
6.75,31.98,32.52225,0.9,0.0,0.08655952380952553
6.825,29.67,32.52225,0.9,0.0,0.22580357142857072
6.9,31.77,32.52225,0.9,0.0,0.3429073129251754
6.975,31.25,32.52225,0.9,0.5508333333333297,0.4378707482993174
7.05,34.16,32.6875,1.0,0.5508333333333297,0.5106938775510157
7.125,32.4,32.6875,1.0,0.0,0.5613767006802668
7.2,31.62,32.6875,1.0,0.0,0.5899192176870744
7.275,32.57,32.6875,1.0,2.5488095238095525,0.5963214285714286
7.35,36.55,33.45214285714285,1.1,2.5488095238095525,0.5805833333333269
7.425,33.06,33.45214285714285,1.1,0.0,0.5427049319727812
7.5,34.64,33.45214285714285,1.1,0.0,0.48268622448979187
7.575,33.31,33.45214285714285,1.2,0.0,0.4005272108843516
7.65,34.32,33.45214285714285,1.2,0.0,0.3277040816326562
7.725,33.5,33.45214285714285,1.2,0.0,0.23667517006802713
7.8,33.08,33.45214285714285,1.2,0.0,0.1274404761904813
7.875,32.68,33.45214285714285,1.3,0.0,0.24880952380952395
7.95,33.41,33.45214285714285,1.3,0.0,0.4620748299319713
8.025,35.62,33.45214285714285,1.3,0.0,0.6397959183673484
8.1,32.9,33.45214285714285,1.4,0.0,0.7819727891156464
8.175,31.61,33.45214285714285,1.4,0.0,1.021660997732426
8.25,30.96,33.45214285714285,1.4,0.0,1.2067970521542006
8.325,32.69,33.45214285714285,1.5,4.976190476190354,1.3373809523809501
8.4,35.09,34.945,1.5,4.976190476190368,1.4134126984127016
8.475,36.32,34.945,1.5,-1.4210854715202004e-14,1.434892290249427
8.55,34.85,34.945,1.5,1.4210854715202004e-14,1.4018197278911526
8.625,33.52,34.945,1.6,2.6611111111111256,1.4019727891156477
8.7,35.82,35.74333333333333,1.6,2.661111111111154,1.3567006802721115
8.775,36.84,35.74333333333333,1.6,1.4210854715202004e-14,1.2412414965986454
8.85,37.11,35.74333333333333,1.7,-1.4210854715202004e-14,1.2544841269841256
8.925,33.48,35.74333333333333,1.7,1.4210854715202004e-14,1.1691269841269787
9.0,36.03,35.74333333333333,1.7,0.0,1.2695238095238055
9.075,35.18,35.74333333333333,1.7,1.7555555555555173,1.587976190476192
9.15,36.27,36.27,2.4,2.188888888888883,2.066547619047616
9.225,36.45,36.400000000000006,2.5,0.4333333333333371,2.5476190476190355
9.3,36.35,36.400000000000006,2.6,3.977777777777831,3.01944444444444
9.375,38.88,37.59333333333333,2.7,3.9777777777777743,3.348968253968252
9.45,38.68,37.59333333333333,2.8,0.0,3.9547619047618836
9.525,35.22,37.59333333333333,2.9,5.622222222222362,4.358458049886601
9.6,39.28,39.28,2.9,10.888888888888872,4.560056689342416
9.675,40.86,40.86,3.0,8.133333333333269,4.559557823129229
9.75,43.99,41.72,3.1,2.8666666666667027,4.457278911564612
9.825,40.26,41.72,3.1,-2.842170943040401e-14,4.190204081632665
9.9,40.91,41.72,3.1,8.371428571428766,3.7366666666666672
9.975,46.82,44.23142857142857,3.2,8.371428571428737,3.6353968253968163
10.05,44.52,44.23142857142857,3.2,0.0,3.4857539682539653
10.125,42.54,44.23142857142857,3.2,0.0,3.111547619047625
10.2,44.5,44.23142857142857,3.2,0.0,3.01321428571429
10.275,44.75,44.23142857142857,3.2,0.0,3.0058333333333316
