dis,phdp,raw_kdp
0.075,NaN,NaN
0.15,NaN,NaN
0.225,NaN,NaN
0.3,NaN,NaN
0.375,NaN,NaN
0.45,NaN,NaN
0.525,NaN,NaN
0.6,NaN,NaN
0.675,NaN,NaN
0.75,NaN,NaN
0.825,NaN,NaN
0.9,NaN,NaN
0.975,NaN,NaN
1.05,29.13,NaN
1.125,8.61,NaN
1.2,65.15,NaN
1.275,28.44,NaN
1.35,32.37,0.4
1.425,28.16,0.4
1.5,26.51,0.4
1.575,30.78,0.4
1.65,30.85,0.4
1.725,29.9,0.4
1.8,27.62,0.4
1.875,30.17,0.4
1.95,31.27,0.4
2.025,34.22,0.4
2.1,34.16,0.4
2.175,32.97,0.4
2.25,31.3,0.4
2.325,30.97,0.4
2.4,30.37,0.4
2.475,32.28,0.4
2.55,32.1,0.4
2.625,31.31,0.4
2.7,30.13,0.4
2.775,31.68,0.3
2.85,32.59,0.3
2.925,29.19,0.3
3.0,34.38,0.3
3.075,34.73,0.3
3.15,30.78,0.3
3.225,30.47,0.3
3.3,32.92,0.3
3.375,31.54,0.3
3.45,32.45,0.3
3.525,28.96,0.3
3.6,31.91,0.3
3.675,32.44,0.3
3.75,30.81,0.3
3.825,30.13,0.3
3.9,33.42,0.3
3.975,31.36,0.3
4.05,35.1,0.4
4.125,34.94,0.4
4.2,32.87,0.4
4.275,32.99,0.4
4.35,33.03,0.4
4.425,33.35,0.4
4.5,33.01,0.4
4.575,35.22,0.4
4.65,31.74,0.4
4.725,32.83,0.4
4.8,32.69,0.4
4.875,36.03,0.4
4.95,32.76,0.4
5.025,32.77,0.4
5.1,33.2,0.4
5.175,32.23,0.5
5.25,32.96,0.5
5.325,33.83,0.5
5.4,28.9,0.5
5.475,31.48,0.5
5.55,31.27,0.5
5.625,32.1,0.5
5.7,32.99,0.6
5.775,33.61,0.6
5.85,30.18,0.6
5.925,34.36,0.6
6.0,31.38,0.6
6.075,33.27,0.7
6.15,32.39,0.7
6.225,31.79,0.7
6.3,32.07,0.7
6.375,31.0,0.7
6.45,33.66,0.8
6.525,30.69,0.8
6.6,32.27,0.8
6.675,31.26,0.8
6.75,31.98,0.9
6.825,29.67,0.9
6.9,31.77,0.9
6.975,31.25,0.9
7.05,34.16,1.0
7.125,32.4,1.0
7.2,31.62,1.0
7.275,32.57,1.0
7.35,36.55,1.1
7.425,33.06,1.1
7.5,34.64,1.1
7.575,33.31,1.2
7.65,34.32,1.2
7.725,33.5,1.2
7.8,33.08,1.2
7.875,32.68,1.3
7.95,33.41,1.3
8.025,35.62,1.3
8.1,32.9,1.4
8.175,31.61,1.4
8.25,30.96,1.4
8.325,32.69,1.5
8.4,35.09,1.5
8.475,36.32,1.5
8.55,34.85,1.5
8.625,33.52,1.6
8.7,35.82,1.6
8.775,36.84,1.6
8.85,37.11,1.7
8.925,33.48,1.7
9.0,36.03,1.7
9.075,35.18,1.7
9.15,36.27,2.4
9.225,36.45,2.5
9.3,36.35,2.6
9.375,38.88,2.7
9.45,38.68,2.8
9.525,35.22,2.9
9.6,39.28,2.9
9.675,40.86,3.0
9.75,43.99,3.1
9.825,40.26,3.1
9.9,40.91,3.1
9.975,46.82,3.2
10.05,44.52,3.2
10.125,42.54,3.2
10.2,44.5,3.2
10.275,44.75,3.2
10.35,42.61,3.2
10.425,43.88,3.2
10.5,46.1,3.1
10.575,47.87,3.1
10.65,46.18,3.1
10.725,48.81,3.1
10.8,49.44,3.0
10.875,46.05,3.0
10.95,49.44,2.9
11.025,49.73,2.9
11.1,50.55,2.8
11.175,50.76,2.7
11.25,50.26,2.7
11.325,48.74,2.6
11.4,57.28,2.5
11.475,50.93,2.5
11.55,55.2,2.4
11.625,55.11,2.2
11.7,49.25,2.2
11.775,52.5,2.2
11.85,53.88,2.1
11.925,51.94,2.1
12.0,53.99,2.1
