dis,phi,reg_phi
1.05,29.13,18.869999999999997
1.125,8.61,18.869999999999997
1.2,65.15,32.1113888888889
1.275,28.44,32.1113888888889
1.35,32.37,32.1113888888889
1.4249999999999998,28.16,32.1113888888889
1.5,26.51,32.1113888888889
1.575,30.78,32.1113888888889
1.65,30.85,32.1113888888889
1.725,29.9,32.1113888888889
1.7999999999999998,27.62,32.1113888888889
1.875,30.17,32.1113888888889
1.95,31.27,32.1113888888889
2.025,34.22,32.1113888888889
2.1,34.16,32.1113888888889
2.1750000000000003,32.97,32.1113888888889
2.25,31.3,32.1113888888889
2.325,30.97,32.1113888888889
2.4,30.37,32.1113888888889
2.475,32.28,32.1113888888889
2.5500000000000003,32.1,32.1113888888889
2.625,31.31,32.1113888888889
2.7,30.13,32.1113888888889
2.775,31.68,32.1113888888889
2.85,32.59,32.1113888888889
2.9250000000000003,29.19,32.1113888888889
3.0,34.38,32.1113888888889
3.075,34.73,32.1113888888889
3.15,30.78,32.1113888888889
3.225,30.47,32.1113888888889
3.3000000000000003,32.92,32.1113888888889
3.375,31.54,32.1113888888889
3.45,32.45,32.1113888888889
3.525,28.96,32.1113888888889
3.6,31.91,32.1113888888889
3.675,32.44,32.1113888888889
3.75,30.81,32.1113888888889
3.825,30.13,32.1113888888889
3.9,33.42,32.39
3.975,31.36,32.39
4.05,35.1,32.52225
4.125,34.94,32.52225
4.2,32.87,32.52225
4.275,32.99,32.52225
4.35,33.03,32.52225
4.425,33.35,32.52225
4.5,33.01,32.52225
4.575,35.22,32.52225
4.65,31.74,32.52225
4.725,32.83,32.52225
4.8,32.69,32.52225
4.875,36.03,32.52225
4.95,32.76,32.52225
5.025,32.77,32.52225
5.1,33.2,32.52225
5.175,32.23,32.52225
5.25,32.96,32.52225
5.325,33.83,32.52225
5.4,28.9,32.52225
5.475,31.48,32.52225
5.55,31.27,32.52225
5.625,32.1,32.52225
5.7,32.99,32.52225
5.775,33.61,32.52225
5.85,30.18,32.52225
5.925,34.36,32.52225
6.0,31.38,32.52225
6.075,33.27,32.52225
6.15,32.39,32.52225
6.225,31.79,32.52225
6.3,32.07,32.52225
6.375,31.0,32.52225
6.45,33.66,32.52225
6.525,30.69,32.52225
6.6,32.27,32.52225
6.675,31.26,32.52225
6.75,31.98,32.52225
6.825,29.67,32.52225
6.9,31.77,32.52225
6.975,31.25,32.52225
7.05,34.16,32.6875
7.125,32.4,32.6875
7.2,31.62,32.6875
7.274999999999999,32.57,32.6875
7.35,36.55,33.45214285714285
7.425,33.06,33.45214285714285
7.5,34.64,33.45214285714285
7.575,33.31,33.45214285714285
7.649999999999999,34.32,33.45214285714285
7.725,33.5,33.45214285714285
7.8,33.08,33.45214285714285
7.875,32.68,33.45214285714285
7.95,33.41,33.45214285714285
8.024999999999999,35.62,33.45214285714285
8.1,32.9,33.45214285714285
8.174999999999999,31.61,33.45214285714285
8.249999999999998,30.96,33.45214285714285
8.325,32.69,33.45214285714285
8.399999999999999,35.09,34.945
8.475,36.32,34.945
8.549999999999999,34.85,34.945
8.624999999999998,33.52,34.945
8.7,35.82,35.74333333333333
8.774999999999999,36.84,35.74333333333333
8.85,37.11,35.74333333333333
8.924999999999999,33.48,35.74333333333333
8.999999999999998,36.03,35.74333333333333
9.075,35.18,35.74333333333333
9.15,36.27,36.27
9.225,36.45,36.400000000000006
9.3,36.35,36.400000000000006
9.374999999999998,38.88,37.593333333333334
9.45,38.68,37.593333333333334
9.525,35.22,37.593333333333334
9.6,39.28,39.28
9.675,40.86,40.86
9.749999999999998,43.99,41.72
9.825,40.26,41.72
9.9,40.91,41.72
9.975,46.82,44.23142857142857
10.05,44.52,44.23142857142857
10.124999999999998,42.54,44.23142857142857
10.2,44.5,44.23142857142857
10.275,44.75,44.23142857142857
10.35,42.61,44.23142857142857
10.425,43.88,44.23142857142857
10.499999999999998,46.1,46.1
10.575,47.87,47.025
10.65,46.18,47.025
10.725,48.81,48.1
10.8,49.44,48.1
10.874999999999998,46.05,48.1
10.95,49.44,49.44
11.025,49.73,49.73
11.1,50.55,50.0775
11.175,50.76,50.0775
11.249999999999998,50.26,50.0775
11.325,48.74,50.0775
11.4,57.28,53.26125
11.475,50.93,53.26125
11.55,55.2,53.26125
11.624999999999998,55.11,53.26125
11.7,49.25,53.26125
11.775,52.5,53.26125
11.85,53.88,53.26125
11.925,51.94,53.26125
11.999999999999998,53.99,53.99
12.075,55.96,55.225
12.15,54.49,55.225
12.225,57.85,55.3975
12.3,54.88,55.3975
12.374999999999998,54.55,55.3975
12.45,54.31,55.3975
12.525,56.45,56.45
12.6,58.7,57.19
12.675,57.57,57.19
12.749999999999998,55.3,57.19
12.825,58.9,57.55111111111111
12.9,58.96,57.55111111111111
12.975,58.03,57.55111111111111
13.05,55.95,57.55111111111111
13.124999999999998,58.12,57.55111111111111
13.2,59.7,57.55111111111111
13.275,56.95,57.55111111111111
13.35,57.26,57.55111111111111
13.425,54.09,57.55111111111111
13.499999999999998,61.22,59.465
13.575,57.71,59.465
13.65,59.55,59.55
13.725,61.88,61.25
13.8,60.62,61.25
13.874999999999998,62.19,61.56666666666666
13.95,63.67,61.56666666666666
14.025,58.84,61.56666666666666
14.1,62.08,62.08
14.175,65.77,64.44666666666666
14.249999999999998,66.25,64.44666666666666
14.325,61.32,64.44666666666666
14.4,68.26,64.51166666666667
14.474999999999998,63.49,64.51166666666667
14.55,63.1,64.51166666666667
14.624999999999998,64.28,64.51166666666667
14.7,63.46,64.51166666666667
14.775,64.48,64.51166666666667
14.849999999999998,66.96,65.11625
14.925,63.38,65.11625
14.999999999999998,65.46,65.11625
15.075,65.96,65.11625
15.15,65.98,65.11625
15.224999999999998,64.92,65.11625
15.3,64.81,65.11625
15.374999999999998,63.46,65.11625
15.45,66.5,66.5
15.525,66.65,66.65
15.599999999999998,69.18,67.01666666666667
15.675,65.57,67.01666666666667
15.749999999999998,66.3,67.01666666666667
15.825,67.26,67.26
15.9,68.02,67.29119999999998
15.974999999999998,66.99,67.29119999999998
16.05,70.6,67.29119999999998
16.125,68.1,67.29119999999998
16.2,69.3,67.29119999999998
16.275,70.37,67.29119999999998
16.349999999999998,70.8,67.29119999999998
16.424999999999997,68.76,67.29119999999998
16.5,68.55,67.29119999999998
16.575,67.4,67.29119999999998
16.65,67.83,67.29119999999998
16.724999999999998,69.66,67.29119999999998
16.799999999999997,69.79,67.29119999999998
16.875,69.87,67.29119999999998
16.95,67.48,67.29119999999998
17.025,71.04,67.29119999999998
17.099999999999998,68.35,67.29119999999998
17.174999999999997,70.8,67.29119999999998
17.25,66.17,67.29119999999998
17.325,67.86,67.29119999999998
17.4,70.58,67.29119999999998
17.474999999999998,66.49,67.29119999999998
17.549999999999997,66.19,67.29119999999998
17.625,66.52,67.29119999999998
17.7,67.68,67.29119999999998
17.775,68.65,67.29119999999998
17.849999999999998,67.31,67.29119999999998
17.924999999999997,63.82,67.29119999999998
18.0,65.88,67.29119999999998
18.075,66.59,67.29119999999998
18.15,65.8,67.29119999999998
18.225,64.3,67.29119999999998
18.3,68.21,67.29119999999998
18.375,64.68,67.29119999999998
18.45,71.87,67.29119999999998
18.525,66.78,67.29119999999998
18.6,61.34,67.29119999999998
18.675,63.17,67.29119999999998
18.75,62.81,67.29119999999998
18.825,68.26,67.29119999999998
18.9,63.68,67.29119999999998
18.975,65.57,67.29119999999998
19.05,64.42,67.29119999999998
19.125,65.98,67.29119999999998
19.2,67.69,67.29119999999998
19.275,70.24,67.29119999999998
19.35,65.64,67.29119999999998
19.425,68.11,67.29119999999998
19.5,62.86,67.29119999999998
19.575,65.7,67.29119999999998
19.65,68.62,67.6975
19.725,67.59,67.6975
19.8,66.91,67.6975
19.875,67.67,67.6975
19.95,68.4,67.85666666666667
20.025,68.18,67.85666666666667
20.1,66.99,67.85666666666667
20.175,68.13,68.13
20.25,69.81,68.5109090909091
20.325,68.56,68.5109090909091
20.4,67.97,68.5109090909091
20.475,70.24,68.5109090909091
20.55,67.95,68.5109090909091
20.625,67.87,68.5109090909091
20.7,67.31,68.5109090909091
20.775,68.49,68.5109090909091
20.85,68.85,68.5109090909091
20.925,69.54,68.5109090909091
21.0,67.03,68.5109090909091
21.075,73.18,69.2653125
21.15,68.05,69.2653125
21.225,67.94,69.2653125
21.3,69.45,69.2653125
21.375,70.61,69.2653125
21.45,67.28,69.2653125
21.525,71.1,69.2653125
21.6,70.48,69.2653125
21.675,70.36,69.2653125
21.75,69.33,69.2653125
21.825,72.07,69.2653125
21.9,70.62,69.2653125
21.975,70.13,69.2653125
22.05,70.18,69.2653125
22.125,67.71,69.2653125
22.2,68.13,69.2653125
22.275,70.17,69.2653125
22.35,69.64,69.2653125
22.425,69.89,69.2653125
22.5,68.79,69.2653125
22.575,65.68,69.2653125
22.65,69.28,69.2653125
22.725,68.75,69.2653125
22.8,67.64,69.2653125
22.875,68.72,69.2653125
22.95,70.78,69.2653125
23.025,69.86,69.2653125
23.1,70.56,69.2653125
23.175,66.54,69.2653125
23.25,68.2,69.2653125
23.325,68.35,69.2653125
23.4,67.02,69.2653125
23.475,69.66,69.66
23.55,70.71,69.82666666666667
23.625,69.37,69.82666666666667
23.7,70.03,69.82666666666667
23.775,70.83,69.82666666666667
23.85,69.67,69.82666666666667
23.925,69.14,69.82666666666667
24.0,69.86,69.82666666666667
24.075,69.09,69.82666666666667
24.15,69.74,69.82666666666667
24.225,72.48,71.23999999999998
24.3,71.84,71.23999999999998
24.375,71.39,71.23999999999998
24.45,70.35,71.23999999999998
24.525,70.14,71.23999999999998
24.6,74.09,71.66499999999999
24.675,73.62,71.66499999999999
24.75,70.98,71.66499999999999
24.825,71.6,71.66499999999999
24.9,68.99,71.66499999999999
24.975,70.71,71.66499999999999
25.05,73.38,72.67625
25.125,74.16,72.67625
25.2,73.73,72.67625
25.275,71.6,72.67625
25.35,71.55,72.67625
25.425,74.32,72.67625
25.5,72.73,72.67625
25.575,69.94,72.67625
25.65,73.29,72.82571428571428
25.725,74.75,72.82571428571428
25.8,75.71,72.82571428571428
25.875,73.84,72.82571428571428
25.95,75.04,72.82571428571428
26.025,71.92,72.82571428571428
26.1,73.04,72.82571428571428
26.175,75.94,72.82571428571428
26.25,70.47,72.82571428571428
26.325,71.87,72.82571428571428
26.4,68.9,72.82571428571428
26.475,73.74,72.82571428571428
26.55,69.83,72.82571428571428
26.625,71.22,72.82571428571428
26.7,76.18,73.65719665271968
26.775,75.62,73.65719665271968
26.85,73.02,73.65719665271968
26.925,74.78,73.65719665271968
27.0,72.93,73.65719665271968
27.075,71.29,73.65719665271968
27.15,75.05,73.65719665271968
27.225,75.64,73.65719665271968
27.3,73.79,73.65719665271968
27.375,72.68,73.65719665271968
27.45,78.12,73.65719665271968
27.525,78.61,73.65719665271968
27.6,67.18,73.65719665271968
27.675,340.73,73.65719665271968
27.75,71.29,73.65719665271968
27.825,77.15,73.65719665271968
27.9,68.54,73.65719665271968
27.975,75.52,73.65719665271968
28.05,84.52,73.65719665271968
28.125,49.56,73.65719665271968
28.2,67.3,73.65719665271968
28.275,66.65,73.65719665271968
28.35,73.48,73.65719665271968
28.425,71.3,73.65719665271968
28.5,70.77,73.65719665271968
28.575,73.18,73.65719665271968
28.65,71.59,73.65719665271968
28.725,62.01,73.65719665271968
28.8,76.36,73.65719665271968
28.875,78.07,73.65719665271968
28.95,71.44,73.65719665271968
29.025,72.58,73.65719665271968
29.1,68.24,73.65719665271968
29.175,65.29,73.65719665271968
29.25,68.17,73.65719665271968
29.325,82.31,73.65719665271968
29.4,70.6,73.65719665271968
29.475,96.94,73.65719665271968
29.55,45.0,73.65719665271968
29.625,76.44,73.65719665271968
29.7,86.62,73.65719665271968
29.775,78.41,73.65719665271968
29.85,58.33,73.65719665271968
29.925,73.39,73.65719665271968
30.0,78.05,73.65719665271968
30.075,63.84,73.65719665271968
30.15,66.81,73.65719665271968
30.225,84.31,73.65719665271968
30.3,71.57,73.65719665271968
30.375,63.77,73.65719665271968
30.45,71.47,73.65719665271968
30.525,68.58,73.65719665271968
30.6,71.26,73.65719665271968
30.675,76.48,73.65719665271968
30.75,79.03,73.65719665271968
30.825,77.3,73.65719665271968
30.9,71.82,73.65719665271968
30.975,67.22,73.65719665271968
31.05,75.23,73.65719665271968
31.125,77.21,73.65719665271968
31.2,58.15,73.65719665271968
31.275,70.01,73.65719665271968
31.35,69.08,73.65719665271968
31.425,70.51,73.65719665271968
31.5,77.42,73.65719665271968
31.575,80.33,73.65719665271968
31.65,79.44,73.65719665271968
31.725,74.5,73.65719665271968
31.8,70.38,73.65719665271968
31.875,76.14,73.65719665271968
31.95,74.8,73.65719665271968
32.025,78.12,73.65719665271968
