bin	dis	ZDR	SD_ZDR	PHIDP	SD_PHIDP
0	0.075000				
1	0.150000				
2	0.225000				
3	0.300000				
4	0.375000				
5	0.450000				
6	0.525000				
7	0.600000				
8	0.675000				
9	0.750000				
10	0.825000		0.000000		0.000000
11	0.900000		0.000000		0.000000
12	0.975000		0.441942		2.078894
13	1.050000	1.812500	0.501949	35.460000	3.121877
14	1.125000	1.812500	0.584968	35.460000	3.647644
15	1.200000	0.875000	0.625694	39.870000	5.219749
16	1.275000	2.250000	0.590907	31.040000	4.895239
17	1.350000	0.750000	0.720287	29.590000	4.980543
18	1.425000	0.625000	0.698372	45.070000	5.010596
19	1.500000	1.687500	0.736485	33.850000	4.908653
20	1.575000	0.062500	0.872993	38.460000	5.900004
21	1.650000	1.625000	1.005406	34.530000	5.062086
22	1.725000	0.437500	1.935462	32.030000	4.500790
23	1.800000	-1.062500	1.845862	45.990000	5.621181
24	1.875000	2.000000	1.860574	39.430000	6.415156
25	1.950000	-3.937500	1.769930	41.290000	6.968219
26	2.025000	0.625000	1.769930	27.880000	7.175886
27	2.100000	0.625000	1.756184	27.880000	5.436092
28	2.175000	0.625000	1.500638	27.880000	4.492425
29	2.250000	-0.812500	0.802380	29.300000	2.418075
30	2.325000	-0.812500	0.779705	29.300000	3.921708
31	2.400000	-0.812500	0.736810	29.300000	4.571064
32	2.475000	1.187500	1.048946	35.240000	4.804200
33	2.550000	-0.312500	1.877592	38.850000	6.016612
34	2.625000	0.125000	2.158463	39.340000	5.985700
35	2.700000	2.062500	1.923895	40.630000	4.706872
36	2.775000	4.812500	1.913799	47.480000	6.510352
37	2.850000	4.812500	1.699340	47.480000	7.814035
38	2.925000	1.250000	1.542138	35.400000	7.850802
39	3.000000	1.375000	1.572544	27.220000	7.972794
40	3.075000	1.375000	1.433363	27.220000	7.105148
41	3.150000	1.187500	0.622913	40.370000	4.875071
42	3.225000	1.500000	2.735203	32.490000	121.331358
43	3.300000	-0.312500	3.311009	28.090000	140.711404
44	3.375000		3.369579		145.543463
45	3.450000	-6.125000	3.345064	356.410000	150.383243
46	3.525000	-5.812500	2.396490	300.440000	133.759407
47	3.600000		1.675522		109.210243
48	3.675000		2.414992		114.722835
49	3.750000	-2.625000	2.820849	113.620000	112.335122
50	3.825000	-2.625000	2.247360	113.620000	122.878041
51	3.900000	0.437500	3.565545	70.610000	115.888364
52	3.975000	2.375000	3.565545	348.050000	115.888364
53	4.050000	2.375000	3.402067	348.050000	117.482889
54	4.125000	7.812500	2.855532	276.910000	102.489937
55	4.200000		5.092427		48.788779
56	4.275000		5.824598		114.630451
57	4.350000	-0.375000	5.944614	228.040000	96.633655
58	4.425000	-7.812500	5.309690	255.920000	105.659464
59	4.500000	7.812500	4.854077	8.410000	96.456641
60	4.575000	4.875000	4.576971	170.210000	97.217212
61	4.650000	1.375000	5.058585	11.400000	113.236464
62	4.725000	1.875000	3.411158	136.900000	103.786298
63	4.800000	-1.187500	2.854100	25.340000	100.097552
64	4.875000	7.500000	2.624544	310.120000	115.559003
65	4.950000	-0.625000	2.646324	176.940000	111.842074
66	5.025000	0.937500	3.324092	242.300000	122.297524
67	5.100000	1.250000	4.519886	316.690000	126.230346
68	5.175000	2.625000	3.332858	30.530000	116.745272
69	5.250000	-4.000000	3.527159	34.730000	115.013618
70	5.325000	-7.812500	4.309292	2.070000	101.099275
