dis,phdp,raw_kdp,azimuth_deg,reg_phi,reg_kdp,kdp_lsf
0.075,NaN,NaN,155.81999,NaN,NaN,NaN
0.15,NaN,NaN,155.81999,NaN,NaN,NaN
0.225,NaN,NaN,155.81999,NaN,NaN,NaN
0.3,NaN,NaN,155.81999,NaN,NaN,NaN
0.375,NaN,NaN,155.81999,NaN,NaN,NaN
0.45,NaN,NaN,155.81999,NaN,NaN,NaN
0.525,NaN,NaN,155.81999,NaN,NaN,NaN
0.6,NaN,NaN,155.81999,NaN,NaN,NaN
0.675,NaN,NaN,155.81999,NaN,NaN,NaN
0.75,NaN,NaN,155.81999,NaN,NaN,NaN
0.825,NaN,NaN,155.81999,NaN,NaN,NaN
0.9,NaN,NaN,155.81999,NaN,NaN,NaN
0.975,NaN,NaN,155.81999,NaN,NaN,NaN
1.05,75.92,NaN,155.81999,42.1151646284102,0.0,NaN
1.125,75.92,NaN,155.81999,42.1151646284102,0.0,NaN
1.2,44.05,NaN,155.81999,42.1151646284102,0.0,NaN
1.275,78.1,NaN,155.81999,42.1151646284102,0.0,NaN
1.35,78.1,NaN,155.81999,42.1151646284102,0.0,NaN
1.425,190.19,NaN,155.81999,42.1151646284102,0.0,NaN
1.5,339.76,NaN,155.81999,42.1151646284102,0.0,NaN
1.575,29.95,NaN,155.81999,42.1151646284102,0.0,3.4228121099964214e-15
1.65,33.03,NaN,155.81999,42.1151646284102,0.0,0.0
1.725,26.11,NaN,155.81999,42.1151646284102,0.0,0.0
1.8,28.47,NaN,155.81999,42.1151646284102,0.0,0.0
1.875,41.69,NaN,155.81999,42.1151646284102,0.0,4.820840975277097e-15
1.95,158.8,NaN,155.81999,42.1151646284102,0.0,0.0
2.025,35.59,NaN,155.81999,42.1151646284102,0.0,1.7892016792460695e-15
2.1,51.92,NaN,155.81999,42.1151646284102,2.842170943040401e-14,8.634072616289846e-15
2.175,58.27,NaN,155.81999,42.1151646284102,-2.842170943040401e-14,0.0
2.25,46.4,NaN,155.81999,42.1151646284102,0.0,1.6141144567806163e-15
2.325,19.03,NaN,155.81999,42.1151646284102,2.842170943040401e-14,3.1261091422351885e-15
2.4,273.0,NaN,155.81999,42.1151646284102,-2.842170943040401e-14,0.0
2.475,322.21,NaN,155.81999,42.1151646284102,2.842170943040401e-14,0.0
2.55,38.66,NaN,155.81999,42.1151646284102,-2.842170943040401e-14,5.709735303702171e-15
2.625,42.77,NaN,155.81999,42.1151646284102,0.0,1.3872710052708297e-15
2.7,38.07,NaN,155.81999,42.1151646284102,2.842170943040401e-14,1.3492905563715496e-15
2.775,101.0,NaN,155.81999,42.1151646284102,-2.842170943040401e-14,1.313320515450038e-15
2.85,38.67,NaN,155.81999,42.1151646284102,2.842170943040401e-14,2.5584128051996433e-15
2.925,34.39,NaN,155.81999,42.1151646284102,-2.842170943040401e-14,0.0
3.0,30.69,0.0,155.81999,42.1151646284102,0.0,0.0
3.075,36.21,0.0,155.81999,42.1151646284102,2.842170943040401e-14,0.0
3.15,33.82,0.0,155.81999,42.1151646284102,-2.842170943040401e-14,3.476157850607234e-15
3.225,33.86,0.0,155.81999,42.1151646284102,2.842170943040401e-14,7.924313755552063e-15
3.3,30.32,NaN,155.81999,42.1151646284102,-2.842170943040401e-14,3.3196951793578143e-15
3.375,33.25,NaN,155.81999,42.1151646284102,0.0,0.0
3.45,46.11,NaN,155.81999,42.1151646284102,2.842170943040401e-14,2.1177674451520405e-15
3.525,42.14,NaN,155.81999,42.1151646284102,-2.842170943040401e-14,0.0
3.6,93.83,NaN,155.81999,42.1151646284102,2.842170943040401e-14,0.0
3.675,80.56,NaN,155.81999,42.1151646284102,-2.842170943040401e-14,2.9837112405538177e-15
3.75,27.77,NaN,155.81999,42.1151646284102,0.0,9.748279199413735e-16
3.825,22.2,NaN,155.81999,42.1151646284102,2.842170943040401e-14,0.0
3.9,57.72,NaN,155.81999,42.1151646284102,-2.842170943040401e-14,3.750386793436383e-15
3.975,39.62,NaN,155.81999,42.1151646284102,2.842170943040401e-14,0.0
4.05,34.35,NaN,155.81999,42.1151646284102,-2.842170943040401e-14,3.612383985486688e-15
4.125,9.6,NaN,155.81999,42.1151646284102,0.0,0.0
4.2,34.33,NaN,155.81999,42.1151646284102,0.0,1.7420738583286152e-15
4.275,37.37,NaN,155.81999,42.1151646284102,0.0,1.7116872993898728e-15
4.35,34.94,NaN,155.81999,42.1151646284102,0.0,2.5235095890464903e-15
4.425,38.02,NaN,155.81999,42.1151646284102,0.0,5.788926107261312e-15
4.5,322.31,NaN,155.81999,42.1151646284102,0.0,2.4398339562997538e-15
4.575,16.57,NaN,155.81999,42.1151646284102,0.0,8.00012660439142e-16
4.65,224.03,NaN,155.81999,42.1151646284102,0.0,7.871720959718088e-16
4.725,73.46,NaN,155.81999,42.1151646284102,0.0,0.0
4.8,35.94,NaN,155.81999,42.1151646284102,0.0,0.0
4.875,33.58,NaN,155.81999,42.1151646284102,0.0,7.5100473437086e-15
4.95,73.93,NaN,155.81999,42.1151646284102,0.0,0.0
5.025,92.71,NaN,155.81999,42.1151646284102,0.0,0.0
5.1,42.23,NaN,155.81999,42.1151646284102,0.0,7.180084491806815e-16
5.175,34.43,NaN,155.81999,42.1151646284102,0.0,3.538217334413775e-15
5.25,36.19,NaN,155.81999,42.1151646284102,0.0,6.975729164925129e-16
5.325,43.83,0.0,155.81999,42.1151646284102,0.0,0.0
5.4,34.0,0.0,155.81999,42.1151646284102,0.0,4.069598420719346e-15
5.475,48.85,0.0,155.81999,42.1151646284102,0.0,0.0
5.55,39.95,0.0,155.81999,42.1151646284102,0.0,4.619986122068861e-15
5.625,41.88,0.0,155.81999,42.1151646284102,0.0,1.3024546923257651e-15
5.7,36.35,NaN,155.81999,42.1151646284102,0.0,3.2134317588988112e-15
5.775,33.88,0.0,155.81999,42.1151646284102,0.0,0.0
5.85,14.78,0.0,155.81999,42.1151646284102,0.0,0.0
5.925,31.38,0.0,155.81999,42.1151646284102,0.0,4.946838019133398e-15
6.0,36.2,0.0,155.81999,42.1151646284102,0.0,2.4425917538343344e-15
6.075,37.01,0.0,155.81999,42.1151646284102,0.0,0.0
6.15,37.21,0.0,155.81999,42.1151646284102,0.0,0.0
6.225,37.02,0.0,155.81999,42.1151646284102,0.0,0.0
6.3,34.85,0.0,155.81999,42.1151646284102,0.0,2.326592408764574e-15
6.375,36.89,0.0,155.81999,42.1151646284102,0.0,3.4489375319171592e-15
6.45,35.72,0.0,155.81999,42.1151646284102,0.0,6.249714464512082e-15
6.525,38.15,0.0,155.81999,42.1151646284102,0.0,0.0
6.6,39.57,0.0,155.81999,42.1151646284102,0.0,5.552746380312339e-16
6.675,39.01,0.0,155.81999,42.1151646284102,0.0,0.0
6.75,34.45,0.0,155.81999,42.1151646284102,0.0,5.429638944512406e-16
6.825,37.49,NaN,155.81999,42.1151646284102,0.0,0.0
6.9,36.33,NaN,155.81999,42.1151646284102,0.0,3.187119564014849e-15
6.975,189.6,NaN,155.81999,42.1151646284102,0.0,4.7293854981373055e-15
7.05,37.3,NaN,155.81999,42.1151646284102,0.0,5.199088355905683e-16
7.125,36.87,NaN,155.81999,42.1151646284102,0.0,0.0
7.2,37.75,0.0,155.81999,42.1151646284102,0.0,1.5272985848269196e-15
7.275,34.38,0.0,155.81999,42.1151646284102,0.0,3.0231691524718127e-15
7.35,37.98,NaN,155.81999,42.1151646284102,0.0,0.0
7.425,31.87,NaN,155.81999,42.1151646284102,0.0,0.0
7.5,253.43,NaN,155.81999,42.1151646284102,0.0,0.0
7.575,159.21,NaN,155.81999,42.1151646284102,0.0,0.0
7.65,35.13,NaN,155.81999,42.1151646284102,0.0,2.396039021316811e-15
7.725,34.84,NaN,155.81999,42.1151646284102,0.0,2.372817565270495e-15
7.8,53.98,NaN,155.81999,42.1151646284102,0.0,0.0
7.875,39.52,NaN,155.81999,42.1151646284102,0.0,0.0
7.95,43.82,NaN,155.81999,42.1151646284102,0.0,0.0
8.025,35.36,NaN,155.81999,42.1151646284102,0.0,0.0
8.1,47.0,NaN,155.81999,42.1151646284102,0.0,0.0
8.175,17.86,NaN,155.81999,42.1151646284102,0.0,4.48482920449456e-16
8.25,32.81,NaN,155.81999,42.1151646284102,0.0,0.0
8.325,34.77,NaN,155.81999,42.1151646284102,0.0,0.0
8.4,33.47,NaN,155.81999,42.1151646284102,0.0,0.0
8.475,33.47,0.0,155.81999,42.1151646284102,0.0,4.326310175122544e-15
8.55,17.69,0.0,155.81999,42.1151646284102,0.0,0.0
8.625,18.02,0.0,155.81999,42.1151646284102,0.0,0.0
8.7,18.02,0.0,155.81999,42.1151646284102,0.0,0.0
8.775,40.47,NaN,155.81999,42.1151646284102,0.0,4.178607111301671e-16
8.85,34.94,NaN,155.81999,42.1151646284102,0.0,0.0
8.925,37.37,NaN,155.81999,42.1151646284102,0.0,0.0
9.0,41.34,NaN,155.81999,42.1151646284102,0.0,2.4445673445621458e-15
9.075,25.01,NaN,155.81999,42.1151646284102,0.0,0.0
9.15,33.85,NaN,155.81999,42.1151646284102,0.0,0.0
9.225,35.88,NaN,155.81999,42.1151646284102,0.0,0.0
9.3,22.77,NaN,155.81999,42.1151646284102,0.0,1.9715062853691765e-15
9.375,51.01,NaN,155.81999,42.1151646284102,0.0,0.0
9.45,15.3,NaN,155.81999,42.1151646284102,0.0,4.656598997178111e-15
9.525,9.77,NaN,155.81999,42.1151646284102,0.0,3.464981562985006e-15
9.6,173.33,NaN,155.81999,42.1151646284102,0.0,1.909967956797455e-15
9.675,22.75,NaN,155.81999,42.1151646284102,0.0,0.0
9.75,6.15,NaN,155.81999,42.1151646284102,0.0,0.0
9.825,47.43,NaN,155.81999,42.1151646284102,0.0,0.0
9.9,31.98,NaN,155.81999,42.1151646284102,0.0,3.3338754826565582e-15
9.975,37.48,NaN,155.81999,42.1151646284102,0.0,0.0
10.05,333.69,NaN,155.81999,42.1151646284102,0.0,2.9192606339206907e-15
10.125,24.95,NaN,155.81999,42.1151646284102,0.0,1.8110366806768254e-15
10.2,46.51,NaN,155.81999,42.1151646284102,0.0,1.79773370994026e-15
10.275,36.31,NaN,155.81999,42.1151646284102,0.0,0.0
10.35,14.45,NaN,155.81999,42.1151646284102,0.0,0.0
10.425,29.17,NaN,155.81999,42.1151646284102,0.0,1.4071772514101415e-15
10.5,37.0,NaN,155.81999,42.1151646284102,0.0,5.937826228698131e-15
10.575,47.13,NaN,155.81999,42.1151646284102,0.0,0.0
10.65,57.0,NaN,155.81999,42.1151646284102,0.0,0.0
10.725,16.78,NaN,155.81999,42.1151646284102,0.0,0.0
10.8,38.98,NaN,155.81999,42.1151646284102,0.0,0.0
10.875,29.98,NaN,155.81999,42.1151646284102,0.0,3.0352544815299083e-15
10.95,25.96,NaN,155.81999,42.1151646284102,0.0,0.0
11.025,37.34,NaN,155.81999,42.1151646284102,0.0,1.3306641733392384e-15
11.1,81.03,NaN,155.81999,42.1151646284102,0.0,2.9737819818635084e-15
11.175,55.04,NaN,155.81999,42.1151646284102,0.0,2.2974315287772956e-15
11.25,40.16,NaN,155.81999,42.1151646284102,0.0,0.0
11.325,35.73,0.0,155.81999,42.1151646284102,0.0,1.2954440175089028e-15
11.4,41.01,0.0,155.81999,42.1151646284102,0.0,9.651961968809429e-16
11.475,40.18,0.0,155.81999,42.1151646284102,0.0,0.0
11.55,34.73,0.0,155.81999,42.1151646284102,0.0,1.9053422091814033e-15
11.625,36.19,0.0,155.81999,42.1151646284102,0.0,3.1550987554230844e-16
11.7,38.21,0.0,155.81999,42.1151646284102,0.0,3.4483782463232942e-15
11.775,37.6,0.0,155.81999,42.1151646284102,0.0,0.0
11.85,37.89,0.0,155.81999,42.1151646284102,0.0,7.42856882741754e-15
11.925,36.45,0.0,155.81999,42.1151646284102,0.0,0.0
12.0,37.52,0.0,155.81999,42.1151646284102,0.0,2.139602442820255e-15
12.075,37.09,0.0,155.81999,42.1151646284102,0.0,0.0
12.15,35.99,0.0,155.81999,42.1151646284102,0.0,1.8113198485161973e-15
12.225,34.72,0.0,155.81999,42.1151646284102,0.0,0.0
12.3,25.43,0.0,155.81999,42.1151646284102,0.0,3.578491993165717e-15
12.375,35.44,0.0,155.81999,42.1151646284102,0.0,5.928031780211058e-16
12.45,35.14,0.0,155.81999,42.1151646284102,0.0,3.830024245564951e-15
12.525,35.88,0.0,155.81999,42.1151646284102,0.0,0.0
12.6,37.25,0.0,155.81999,42.1151646284102,0.0,5.566027189815245e-16
12.675,31.89,0.0,155.81999,42.1151646284102,0.0,8.131323563689731e-16
12.75,38.13,0.0,155.81999,42.1151646284102,0.0,0.0
12.825,60.12,0.0,155.81999,42.1151646284102,0.0,7.739746431045598e-16
12.9,34.71,NaN,155.81999,42.1151646284102,0.0,0.0
12.975,79.45,NaN,155.81999,42.1151646284102,9.58955137519979e-15,2.4655096104787816e-16
13.05,NaN,NaN,155.81999,NaN,NaN,NaN
13.125,NaN,NaN,155.81999,NaN,NaN,NaN
13.2,NaN,NaN,155.81999,NaN,NaN,NaN
13.275,NaN,NaN,155.81999,NaN,NaN,NaN
13.35,NaN,NaN,155.81999,NaN,NaN,NaN
13.425,NaN,NaN,155.81999,NaN,NaN,NaN
13.5,NaN,NaN,155.81999,NaN,NaN,NaN
13.575,NaN,NaN,155.81999,NaN,NaN,NaN
13.65,NaN,NaN,155.81999,NaN,NaN,NaN
13.725,NaN,NaN,155.81999,NaN,NaN,NaN
13.8,NaN,NaN,155.81999,NaN,NaN,NaN
13.875,NaN,NaN,155.81999,NaN,NaN,NaN
13.95,NaN,NaN,155.81999,NaN,NaN,NaN
14.025,NaN,NaN,155.81999,NaN,NaN,NaN
14.1,NaN,NaN,155.81999,NaN,NaN,NaN
14.175,NaN,NaN,155.81999,NaN,NaN,NaN
14.25,NaN,NaN,155.81999,NaN,NaN,NaN
14.325,NaN,NaN,155.81999,NaN,NaN,NaN
14.4,NaN,NaN,155.81999,NaN,NaN,NaN
14.475,NaN,NaN,155.81999,NaN,NaN,NaN
14.55,NaN,NaN,155.81999,NaN,NaN,NaN
14.625,NaN,NaN,155.81999,NaN,NaN,NaN
14.7,NaN,NaN,155.81999,NaN,NaN,NaN
14.775,NaN,NaN,155.81999,NaN,NaN,NaN
14.85,NaN,NaN,155.81999,NaN,NaN,NaN
14.925,NaN,NaN,155.81999,NaN,NaN,NaN
15.0,NaN,NaN,155.81999,NaN,NaN,NaN
15.075,NaN,NaN,155.81999,NaN,NaN,NaN
15.15,NaN,NaN,155.81999,NaN,NaN,NaN
15.225,NaN,NaN,155.81999,NaN,NaN,NaN
15.3,NaN,NaN,155.81999,NaN,NaN,NaN
15.375,NaN,NaN,155.81999,NaN,NaN,NaN
15.45,NaN,NaN,155.81999,NaN,NaN,NaN
15.525,NaN,NaN,155.81999,NaN,NaN,NaN
